country,clinic_name,location,website,source_type,discovery_source,review_status,validation,evidence
Belgium,Inkendaal,"Vlezenbeek, Flemish Brabant",https://www.inkendaal.be/,curated | curated-dataset,src/lib/data/centers.js,known | candidate,verified in app | candidate (broad),Reference center for several rehabilitation specialties | Official quality model and accreditation history || revalidatie | neurolog | neuro | revalidatieziekenhuis
Belgium,Revalidatieziekenhuis RevArte,"Edegem, Antwerp",https://www.mkl.be/mkl/revalidatieziekenhuis-revarte/,curated | curated-dataset,src/lib/data/centers.js,known,verified in app | known (none),Hersenletselkliniek on the official site | Dwarslaesiekliniek on the official site | Residentieel and ambulant rehab pathways || fetch failed
Croatia,University Hospital Centre Zagreb,"Zagreb, City of Zagreb",https://www.kbc-zagreb.hr/,curated | curated-dataset,src/lib/data/centers.js,known | candidate,verified in app | candidate (broad),"Official hospital site lists neurology, neurosurgery and rehabilitation services | Multiple campus locations including the rehabilitation facility at Božidarevićeva 11 || rehab | neurolog | neuro | spinal | hospital | klinik"
Czech Republic,Rehabilitační ústav Brandýs nad Orlicí,"Brandýs nad Orlicí, Pardubice Region",https://www.rehabilitacniustav.cz/,curated | curated-dataset,src/lib/data/centers.js,known | candidate,verified in app | candidate (strict),Robotická rehabilitace a neurorehabilitace on the official site | Hydrotherapy and pool services | Specialist rehab stays and high bed capacity || neurorehabilitace | rehab | rehabilitace | neuro
Estonia,Haapsalu Neurological Rehabilitation Centre,"Haapsalu, Lääne County",https://www.hnrk.ee/,curated | curated-dataset,src/lib/data/centers.js,known | candidate,verified in app | candidate (strict),Neurorehabilitatsiooni osakond is listed on the official site | Spinaalse rehabilitatsiooni osakond is listed on the official site | Statsionaarne and ambulatory rehab services || neurorehabilitatsioon | rehab | taastusravi | neuro | centre
France,Centre Bouffard Vercelli,"Cerbère, Occitanie",https://www.bouffard-vercelli.com/,france-pilot-official-seed,specialist rehabilitation centre seed,error,error (none),fetch failed
France,Centre de l'Arche,"Saint-Saturnin, Pays de la Loire",https://www.centre-de-larche.fr/,france-pilot-official-seed,official specialist rehabilitation centre seed,error,error (none),fetch failed
France,Centre de Réadaptation de Coubert,"Coubert, Île-de-France",https://www.ugecamidf.fr/etablissement/crf-de-coubert,france-pilot-official-seed,UGECAM rehabilitation centre seed,error,error (none),fetch failed
France,Centre Mutualiste de Kerpape,"Ploemeur, Brittany",https://centre-kerpape.fr/mpr-neuro/,curated | france-second-pass-official-seed,src/lib/data/centers.js | official adult neurological MPR service page,known | candidate,verified in app | candidate (strict),"Official adult neurological MPR service at Kerpape | Covers acquired brain injury, stroke, traumatic brain injury, MS, Parkinsonian syndromes and neuromuscular disease | Dedicated post-resuscitation neurorehab unit, conventional rehab unit and day hospital || MPR Neurologique | Médecine Physique et Réadaptation neurologique adulte | atteinte du système nerveux central | Lésions cérébrales | accident vasculaire cérébral | traumatisme crânien | Sclérose en plaques | Syndromes parkinsoniens | Unité de Réadaptation Neurologique Post Réanimation | affections du système nerveux | réadaptation neurologique | rééducation | réadaptation | neurolog | neuro | parkinson | blessés médullaires | centre"
France,Centre Propara,"Montpellier, Occitanie",https://www.propara.fr/,curated | curated-dataset | france-pilot-official-seed,src/lib/data/centers.js | official spinal cord injury rehabilitation centre seed,known | candidate,verified in app | candidate (strict),Official spinal cord injury rehabilitation centre seed | Matched neurological rehabilitation and spinal cord injury evidence || rééducation | réadaptation | rééducation neurologique | rehabilitation | rehab | neurolog | neuro | hospital | centre
